code_module,code_presentation,id_student,landmark_day,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,date_registration,total_click_25,active_days_25,distinct_resources_25,no_vle_activity_25,n_opportunity_25,n_submitted_25,n_missing_25,submission_rate_25,avg_score_25,avg_submit_delay_25,no_assessment_opportunity_25,eligible_at_25,target_churn_after_25,final_result,date_unregistration,cohort_status_25
AAA,2013J,102952,25,M,London Region,HE Qualification,60-70%,0-35,N,0,60,-100.0,325.0,10.0,25.0,0.0,1.0,1.0,0.0,1.0,76.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,104476,25,M,Ireland,Post Graduate Qualification,Unknown,35-55,N,0,60,-109.0,595.0,18.0,26.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,106247,25,M,South Region,HE Qualification,80-90%,35-55,N,0,60,5.0,47.0,3.0,12.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,1.0,Withdrawn,175.0,model_eligible
AAA,2013J,106577,25,M,East Midlands Region,Lower Than A Level,20-30%,0-35,N,0,60,-107.0,169.0,6.0,19.0,0.0,1.0,1.0,0.0,1.0,57.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,110175,25,M,East Anglian Region,HE Qualification,80-90%,35-55,N,0,60,-110.0,164.0,11.0,23.0,0.0,1.0,1.0,0.0,1.0,66.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,111717,25,F,East Anglian Region,HE Qualification,90-100%,35-55,N,0,60,-43.0,356.0,15.0,27.0,0.0,1.0,1.0,0.0,1.0,80.0,-9.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,113295,25,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,N,0,60,-26.0,898.0,21.0,28.0,0.0,1.0,1.0,0.0,1.0,81.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,114017,25,F,North Region,Post Graduate Qualification,Unknown,35-55,N,0,60,-29.0,315.0,8.0,18.0,0.0,1.0,1.0,0.0,1.0,66.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,114999,25,M,Yorkshire Region,HE Qualification,60-70%,35-55,N,0,60,-68.0,201.0,15.0,22.0,0.0,1.0,1.0,0.0,1.0,74.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,116541,25,M,Wales,HE Qualification,0-10%,0-35,N,0,60,-68.0,436.0,16.0,25.0,0.0,1.0,1.0,0.0,1.0,76.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,116692,25,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,0,60,-32.0,170.0,10.0,15.0,0.0,1.0,1.0,0.0,1.0,72.0,-3.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,118983,25,M,East Midlands Region,HE Qualification,30-40%,0-35,N,0,120,-99.0,51.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,73.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,123044,25,M,South Region,A Level or Equivalent,40-50%,35-55,N,0,60,-82.0,562.0,15.0,26.0,0.0,1.0,1.0,0.0,1.0,75.0,6.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,127582,25,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,0,180,-31.0,229.0,13.0,24.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,129955,25,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,60,-197.0,323.0,21.0,29.0,0.0,1.0,1.0,0.0,1.0,85.0,-1.0,0.0,1,1.0,Withdrawn,135.0,model_eligible
AAA,2013J,132976,25,F,East Anglian Region,Lower Than A Level,80-90%,35-55,N,0,120,-75.0,99.0,4.0,9.0,0.0,1.0,1.0,0.0,1.0,63.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,134143,25,F,South East Region,A Level or Equivalent,90-100%,35-55,N,0,60,-96.0,485.0,13.0,21.0,0.0,1.0,1.0,0.0,1.0,87.0,-1.0,0.0,1,0.0,Distinction,,model_eligible
AAA,2013J,135335,25,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,0,180,-29.0,55.0,9.0,8.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,1.0,Withdrawn,30.0,model_eligible
AAA,2013J,135400,25,F,South East Region,Lower Than A Level,90-100%,35-55,Y,0,60,-32.0,191.0,12.0,21.0,0.0,1.0,1.0,0.0,1.0,72.0,0.0,0.0,1,1.0,Withdrawn,144.0,model_eligible
AAA,2013J,137873,25,M,South West Region,A Level or Equivalent,40-50%,35-55,N,0,60,-195.0,610.0,17.0,20.0,0.0,1.0,1.0,0.0,1.0,72.0,-4.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,141355,25,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,240,-61.0,474.0,14.0,25.0,0.0,1.0,1.0,0.0,1.0,77.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,141377,25,M,South West Region,A Level or Equivalent,90-100%,0-35,N,0,345,-110.0,7.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,1.0,Withdrawn,129.0,model_eligible
AAA,2013J,142326,25,F,North Region,A Level or Equivalent,50-60%,35-55,N,0,60,-37.0,245.0,8.0,20.0,0.0,1.0,1.0,0.0,1.0,65.0,-2.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,144801,25,F,South Region,HE Qualification,80-90%,35-55,N,0,60,-67.0,947.0,26.0,49.0,0.0,1.0,1.0,0.0,1.0,61.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,145130,25,M,South West Region,HE Qualification,60-70%,0-35,N,0,120,-36.0,181.0,8.0,19.0,0.0,1.0,1.0,0.0,1.0,75.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,146188,25,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y,0,60,-132.0,82.0,5.0,15.0,0.0,1.0,1.0,0.0,1.0,52.0,0.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,147756,25,M,North Region,Lower Than A Level,60-70%,0-35,N,0,120,-92.0,292.0,20.0,22.0,0.0,1.0,1.0,0.0,1.0,77.0,-1.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,147793,25,F,North Region,Lower Than A Level,80-90%,0-35,N,0,90,-138.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,1.0,Withdrawn,58.0,model_eligible
AAA,2013J,148993,25,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,0,60,-174.0,493.0,22.0,22.0,0.0,1.0,1.0,0.0,1.0,68.0,6.0,0.0,1,1.0,Withdrawn,158.0,model_eligible
AAA,2013J,151358,25,F,London Region,A Level or Equivalent,80-90%,0-35,N,0,150,-44.0,37.0,5.0,7.0,0.0,1.0,1.0,0.0,1.0,54.0,-2.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,155550,25,M,London Region,A Level or Equivalent,0-10%,35-55,N,0,420,-16.0,366.0,13.0,23.0,0.0,1.0,1.0,0.0,1.0,75.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,155854,25,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,60,-54.0,662.0,23.0,21.0,0.0,1.0,1.0,0.0,1.0,82.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,155984,25,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,0,60,-64.0,276.0,9.0,22.0,0.0,1.0,1.0,0.0,1.0,85.0,0.0,0.0,1,1.0,Withdrawn,191.0,model_eligible
AAA,2013J,157568,25,F,South West Region,A Level or Equivalent,90-100%,0-35,N,0,60,-52.0,300.0,12.0,19.0,0.0,1.0,1.0,0.0,1.0,79.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,159954,25,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,0,60,-46.0,374.0,18.0,26.0,0.0,1.0,1.0,0.0,1.0,65.0,0.0,0.0,1,1.0,Withdrawn,123.0,model_eligible
AAA,2013J,164259,25,M,Scotland,A Level or Equivalent,70-80%,0-35,N,0,60,-64.0,78.0,5.0,12.0,0.0,1.0,1.0,0.0,1.0,82.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,167906,25,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N,0,60,-117.0,263.0,11.0,19.0,0.0,1.0,1.0,0.0,1.0,60.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,168936,25,F,West Midlands Region,Lower Than A Level,10-20,35-55,N,0,60,-32.0,249.0,9.0,21.0,0.0,1.0,1.0,0.0,1.0,76.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,172112,25,M,Ireland,HE Qualification,Unknown,35-55,N,0,60,-50.0,242.0,14.0,22.0,0.0,1.0,1.0,0.0,1.0,60.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,172797,25,F,Ireland,A Level or Equivalent,Unknown,35-55,N,0,60,-45.0,100.0,5.0,18.0,0.0,1.0,1.0,0.0,1.0,60.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,174782,25,M,East Anglian Region,HE Qualification,90-100%,55<=,N,0,60,-162.0,1127.0,26.0,30.0,0.0,1.0,1.0,0.0,1.0,83.0,-2.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,175392,25,M,North Region,HE Qualification,Unknown,35-55,N,0,60,-195.0,895.0,25.0,37.0,0.0,1.0,1.0,0.0,1.0,85.0,-3.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,175932,25,M,North Western Region,HE Qualification,70-80%,35-55,N,0,60,-92.0,322.0,15.0,17.0,0.0,1.0,1.0,0.0,1.0,76.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,175991,25,F,North Western Region,A Level or Equivalent,80-90%,0-35,N,0,180,-57.0,92.0,4.0,11.0,0.0,1.0,1.0,0.0,1.0,51.0,-4.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,180753,25,M,South West Region,A Level or Equivalent,30-40%,0-35,N,0,120,-64.0,479.0,21.0,19.0,0.0,1.0,1.0,0.0,1.0,61.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,181316,25,F,South West Region,A Level or Equivalent,80-90%,35-55,N,0,120,-39.0,332.0,12.0,24.0,0.0,1.0,1.0,0.0,1.0,76.0,1.0,0.0,1,1.0,Withdrawn,60.0,model_eligible
AAA,2013J,183096,25,F,South West Region,A Level or Equivalent,60-70%,0-35,N,0,60,-128.0,417.0,16.0,25.0,0.0,1.0,1.0,0.0,1.0,57.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,183947,25,M,London Region,A Level or Equivalent,10-20,0-35,N,0,180,-32.0,225.0,7.0,28.0,0.0,1.0,1.0,0.0,1.0,67.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,184271,25,M,South West Region,HE Qualification,80-90%,35-55,N,0,170,-74.0,266.0,18.0,22.0,0.0,1.0,1.0,0.0,1.0,65.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,185439,25,M,London Region,HE Qualification,10-20,0-35,N,0,120,-12.0,197.0,7.0,21.0,0.0,1.0,1.0,0.0,1.0,74.0,5.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,186149,25,M,Scotland,HE Qualification,30-40%,35-55,N,0,60,-109.0,402.0,17.0,20.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,187100,25,M,South East Region,A Level or Equivalent,50-60%,35-55,N,0,60,-136.0,1629.0,25.0,26.0,0.0,1.0,1.0,0.0,1.0,88.0,-2.0,0.0,1,0.0,Distinction,,model_eligible
AAA,2013J,188278,25,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,0,120,-57.0,912.0,20.0,36.0,0.0,1.0,1.0,0.0,1.0,76.0,0.0,0.0,1,1.0,Withdrawn,60.0,model_eligible
AAA,2013J,189879,25,M,Scotland,A Level or Equivalent,90-100%,0-35,N,0,120,-180.0,471.0,13.0,32.0,0.0,1.0,1.0,0.0,1.0,76.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,192183,25,F,South West Region,Lower Than A Level,90-100%,0-35,N,0,60,-62.0,508.0,21.0,21.0,0.0,1.0,1.0,0.0,1.0,75.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,195262,25,M,London Region,A Level or Equivalent,90-100%,0-35,N,0,60,-45.0,167.0,7.0,18.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,1.0,Withdrawn,185.0,model_eligible
AAA,2013J,200860,25,M,London Region,Lower Than A Level,50-60%,35-55,N,0,60,-54.0,197.0,14.0,25.0,0.0,1.0,1.0,0.0,1.0,69.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,202635,25,F,Wales,A Level or Equivalent,30-40%,0-35,N,0,60,-73.0,574.0,14.0,26.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,1.0,Withdrawn,166.0,model_eligible
AAA,2013J,205350,25,M,South West Region,HE Qualification,80-90%,35-55,N,0,60,-68.0,385.0,16.0,22.0,0.0,1.0,1.0,0.0,1.0,75.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,205719,25,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,0,90,-51.0,221.0,9.0,21.0,0.0,1.0,1.0,0.0,1.0,67.0,0.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,227499,25,F,London Region,A Level or Equivalent,10-20,35-55,N,0,60,-169.0,565.0,19.0,22.0,0.0,1.0,1.0,0.0,1.0,84.0,0.0,0.0,1,0.0,Distinction,,model_eligible
AAA,2013J,227517,25,M,Ireland,HE Qualification,Unknown,0-35,N,0,180,-172.0,435.0,15.0,22.0,0.0,1.0,1.0,0.0,1.0,63.0,-1.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,228082,25,M,London Region,HE Qualification,60-70%,0-35,N,0,60,-31.0,70.0,7.0,10.0,0.0,1.0,1.0,0.0,1.0,58.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,228222,25,M,East Midlands Region,Lower Than A Level,50-60%,0-35,N,0,60,-108.0,69.0,6.0,17.0,0.0,1.0,1.0,0.0,1.0,71.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,229179,25,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,0,60,-165.0,151.0,10.0,22.0,0.0,1.0,1.0,0.0,1.0,64.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,229361,25,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,60,-58.0,126.0,15.0,15.0,0.0,1.0,1.0,0.0,1.0,81.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,231554,25,M,London Region,A Level or Equivalent,40-50%,0-35,N,0,240,-29.0,337.0,12.0,18.0,0.0,1.0,1.0,0.0,1.0,80.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,235507,25,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,0,240,-79.0,105.0,11.0,14.0,0.0,1.0,1.0,0.0,1.0,65.0,-1.0,0.0,1,1.0,Withdrawn,109.0,model_eligible
AAA,2013J,236284,25,M,Scotland,Post Graduate Qualification,90-100%,0-35,N,0,60,2.0,154.0,6.0,19.0,0.0,1.0,1.0,0.0,1.0,85.0,4.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,238007,25,M,South Region,HE Qualification,90-100%,55<=,N,0,60,-151.0,324.0,19.0,29.0,0.0,1.0,1.0,0.0,1.0,83.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,240712,25,M,London Region,HE Qualification,80-90%,0-35,N,0,80,-45.0,48.0,4.0,8.0,0.0,1.0,1.0,0.0,1.0,82.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,240884,25,M,South Region,A Level or Equivalent,90-100%,0-35,N,0,120,-47.0,159.0,5.0,21.0,0.0,1.0,1.0,0.0,1.0,74.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,241649,25,M,East Anglian Region,HE Qualification,90-100%,35-55,N,0,60,-50.0,298.0,15.0,25.0,0.0,1.0,1.0,0.0,1.0,85.0,-3.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,241729,25,F,East Midlands Region,HE Qualification,60-70%,35-55,N,0,60,-31.0,255.0,14.0,25.0,0.0,1.0,1.0,0.0,1.0,51.0,0.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,242793,25,M,London Region,HE Qualification,20-30%,35-55,N,0,60,-36.0,110.0,7.0,14.0,0.0,1.0,1.0,0.0,1.0,66.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,246834,25,M,South West Region,A Level or Equivalent,90-100%,35-55,N,0,60,-16.0,280.0,10.0,20.0,0.0,1.0,1.0,0.0,1.0,60.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,248270,25,M,North Western Region,Lower Than A Level,20-30%,0-35,N,0,90,-198.0,438.0,25.0,29.0,0.0,1.0,1.0,0.0,1.0,77.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,255548,25,M,Wales,Lower Than A Level,20-30%,35-55,N,0,60,-103.0,719.0,25.0,22.0,0.0,1.0,1.0,0.0,1.0,84.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,256815,25,M,North Western Region,HE Qualification,10-20,0-35,N,0,120,-117.0,9.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,258392,25,F,West Midlands Region,Lower Than A Level,30-40%,0-35,N,0,60,-68.0,198.0,8.0,24.0,0.0,1.0,1.0,0.0,1.0,58.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,258894,25,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,0,60,-172.0,597.0,22.0,21.0,0.0,1.0,1.0,0.0,1.0,58.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,260355,25,F,London Region,A Level or Equivalent,80-90%,35-55,N,0,60,-186.0,128.0,6.0,14.0,0.0,1.0,1.0,0.0,1.0,55.0,2.0,0.0,1,1.0,Withdrawn,170.0,model_eligible
AAA,2013J,262011,25,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,60,-145.0,313.0,13.0,24.0,0.0,1.0,1.0,0.0,1.0,60.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,262934,25,F,North Western Region,A Level or Equivalent,30-40%,35-55,N,0,60,-191.0,617.0,17.0,29.0,0.0,1.0,1.0,0.0,1.0,81.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,268073,25,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,0,90,-33.0,688.0,14.0,24.0,0.0,1.0,1.0,0.0,1.0,64.0,-1.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,268733,25,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,0,180,-17.0,105.0,4.0,10.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,1.0,Withdrawn,187.0,model_eligible
AAA,2013J,271251,25,M,Scotland,A Level or Equivalent,80-90%,35-55,N,0,60,-68.0,703.0,23.0,23.0,0.0,1.0,1.0,0.0,1.0,80.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,277880,25,F,South East Region,A Level or Equivalent,60-70%,0-35,N,0,60,-108.0,874.0,20.0,28.0,0.0,1.0,1.0,0.0,1.0,70.0,1.0,0.0,1,1.0,Withdrawn,177.0,model_eligible
AAA,2013J,279572,25,M,London Region,Lower Than A Level,40-50%,0-35,N,0,60,-138.0,207.0,11.0,25.0,0.0,1.0,1.0,0.0,1.0,79.0,-1.0,0.0,1,0.0,Distinction,,model_eligible
AAA,2013J,281022,25,F,Scotland,A Level or Equivalent,30-40%,0-35,N,0,150,-74.0,120.0,10.0,13.0,0.0,1.0,1.0,0.0,1.0,70.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,281250,25,M,Wales,Lower Than A Level,70-80%,35-55,N,0,60,-64.0,31.0,5.0,7.0,0.0,1.0,1.0,0.0,1.0,63.0,-1.0,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,281589,25,M,North Western Region,HE Qualification,30-40%,0-35,N,0,60,-50.0,24.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1,0.0,Fail,,model_eligible
AAA,2013J,282821,25,M,South West Region,A Level or Equivalent,30-40%,35-55,N,0,60,-107.0,585.0,13.0,21.0,0.0,1.0,1.0,0.0,1.0,61.0,0.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,286488,25,M,South East Region,A Level or Equivalent,90-100%,35-55,N,0,60,-8.0,87.0,8.0,13.0,0.0,1.0,1.0,0.0,1.0,55.0,-1.0,0.0,1,0.0,Pass,,model_eligible
AAA,2013J,287548,25,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,0,120,-52.0,156.0,7.0,19.0,0.0,1.0,1.0,0.0,1.0,69.0,2.0,0.0,1,0.0,Pass,,model_eligible
