code_module,code_presentation,분야,개강 시기,과목 기간,TMA 수,CMA 수,평가 수,평가 밀도,CMA 가중치,시험 가중치,첫 평가일,첫 평가 가중치,25일 내 평가 수,60일 내 평가 수,평가 간격 중앙값,학습 자료 수,자료 유형 수,퀴즈 비중,포럼 비중,25일 클릭 중앙값,학점 중앙값,등록 학생,25일 전 이탈 비율,25일 이후 이탈률,전체 Withdrawn 비율,완주자 합격률,ROC-AUC,PR-AUC 배수,관리자 명단 비율,명단 포착률
DDD,2013B,STEM,B,240,6,7.0,13.0,5.416666666666667,25.0,100.0,23.0,2.0,2.0,4.0,12.5,428,11,0.016355140186915886,0.02570093457943925,197.0,60.0,1303,0.09056024558710668,0.26418289585097376,0.33154259401381425,0.5855338691159586,0.7364807914115872,1.7952742586159216,0.7735368956743003,0.9230769230769231
DDD,2014B,STEM,B,241,6,0.0,6.0,2.4896265560165975,0.0,100.0,25.0,10.0,1.0,2.0,42.0,453,10,0.01545253863134658,0.02869757174392936,161.0,60.0,1228,0.15716612377850162,0.28654404646660214,0.3990228013029316,0.6490514905149052,0.7169781874265571,1.7183070083811143,0.562015503875969,0.7804054054054054
EEE,2013J,STEM,J,268,4,0.0,4.0,1.4925373134328357,0.0,100.0,33.0,16.0,0.0,1.0,35.0,112,11,0.017857142857142856,0.044642857142857144,283.0,60.0,1052,0.11692015209125475,0.12917115177610333,0.23098859315589354,0.7527812113720643,0.6682074560355662,2.148200966233263,0.18318965517241378,0.4117647058823529
EEE,2014J,STEM,J,269,4,0.0,4.0,1.486988847583643,0.0,100.0,33.0,16.0,0.0,1.0,35.0,115,11,0.017391304347826087,0.043478260869565216,271.0,60.0,1188,0.13973063973063973,0.13372664700098327,0.25757575757575757,0.7755102040816326,0.6968101088335449,2.2043864268860993,0.18289085545722714,0.4632352941176471
EEE,2014B,STEM,B,241,4,0.0,4.0,1.6597510373443984,0.0,100.0,33.0,16.0,0.0,1.0,35.0,109,11,0.01834862385321101,0.045871559633027525,240.0,60.0,694,0.1239193083573487,0.14309210526315788,0.24927953890489912,0.6852207293666027,0.5977232113309948,1.3751647535456482,0.27960526315789475,0.45977011494252873
FFF,2013J,STEM,J,268,5,7.0,12.0,4.477611940298507,0.0,100.0,19.0,12.5,1.0,2.0,0.0,529,16,0.020793950850661626,0.013232514177693762,362.0,60.0,2283,0.12965396408234778,0.19184290030211482,0.2956636005256242,0.6809701492537313,0.6622660485196359,1.8212661526484035,0.378147029204431,0.6089238845144357
FFF,2014J,STEM,J,269,5,7.0,12.0,4.4609665427509295,0.0,100.0,24.0,12.5,1.0,2.0,0.0,452,16,0.024336283185840708,0.015486725663716814,386.0,60.0,2365,0.21226215644820295,0.17899891186071817,0.36152219873150104,0.7397350993377484,0.7116369664485227,2.0709976349708987,0.36887921653971706,0.6565349544072948
FFF,2013B,STEM,B,240,5,7.0,12.0,5.0,0.0,100.0,19.0,12.5,1.0,2.0,0.0,508,14,0.021653543307086614,0.00984251968503937,389.0,60.0,1614,0.06815365551425032,0.20013297872340424,0.25464684014869887,0.6500415627597672,0.7223951221939072,2.1033734205759993,0.38389886892880903,0.6578073089700996
FFF,2014B,STEM,B,241,5,7.0,12.0,4.979253112033195,0.0,100.0,24.0,12.5,1.0,2.0,0.0,478,15,0.02301255230125523,0.012552301255230125,334.0,60.0,1500,0.13,0.20292083013066872,0.308,0.630057803468208,0.6683213523859618,1.5916389643616418,0.4027671022290546,0.6098484848484849
GGG,2013J,사회과학,J,261,3,6.0,9.0,3.4482758620689653,0.0,100.0,61.0,0.0,0.0,0.0,0.0,137,7,0.06569343065693431,0.014598540145985401,24.0,30.0,952,0.029411764705882353,0.04008667388949079,0.06932773109243698,0.6681715575620768,0.5339820633274358,1.1490755266357926,0.06933911159263272,0.10810810810810811
GGG,2014J,사회과학,J,269,3,6.0,9.0,3.3457249070631967,0.0,100.0,61.0,0.0,0.0,0.0,0.0,106,7,0.07547169811320754,0.018867924528301886,43.0,30.0,749,0.042723631508678236,0.12867132867132866,0.16822429906542055,0.7126805778491172,0.627468769628027,1.5233173490964593,0.0979020979020979,0.22826086956521738
GGG,2014B,사회과학,B,241,3,6.0,9.0,3.7344398340248963,0.0,100.0,61.0,0.0,0.0,0.0,0.0,124,7,0.07258064516129033,0.016129032258064516,31.0,30.0,833,0.04201680672268908,0.08145363408521303,0.12004801920768307,0.6521145975443383,0.553384405499003,1.3572356419440084,0.11027568922305764,0.16923076923076924
