code_module,code_presentation,id_student,final_result,date_registration,studied_credits,num_of_prev_attempts,total_click_25,active_days_25,distinct_resources_25,no_vle_activity_25,n_banked_25,n_opportunity_25,no_assessment_opportunity_25,n_submitted_25,avg_score_25,avg_submit_delay_25,n_missing_25,submission_rate_25,proba,tier,missed_cp
DDD,2014J,364307,Withdrawn,-52.0,150,1,43.0,1.0,16.0,0,0,1,0,0,,,1,0.0,0.5185064665537984,1.0,True
DDD,2014J,509998,Withdrawn,-109.0,120,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.5300347860600857,1.0,True
DDD,2014J,557083,Withdrawn,-156.0,120,1,87.0,9.0,10.0,0,0,1,0,0,,,1,0.0,0.6039811649752214,1.0,True
DDD,2014J,580838,Withdrawn,-116.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.3491047572436229,2.0,True
DDD,2014J,610609,Withdrawn,-136.0,60,1,4.0,1.0,2.0,0,0,1,0,0,,,1,0.0,0.39990074140005677,2.0,True
DDD,2014J,656009,Withdrawn,-129.0,120,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.5174768038190867,1.0,True
DDD,2014J,676010,Withdrawn,-84.0,120,0,74.0,3.0,9.0,0,0,1,0,0,,,1,0.0,0.5845818839380685,1.0,True
DDD,2014J,680293,Withdrawn,-60.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.38913494729528897,2.0,True
DDD,2014J,681960,Withdrawn,-81.0,210,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.5730788296360214,1.0,True
DDD,2014J,685069,Withdrawn,-65.0,120,0,67.0,10.0,14.0,0,0,1,0,1,45.0,0.0,0,1.0,0.5951918439262314,1.0,False
DDD,2014J,687777,Withdrawn,-37.0,120,0,49.0,5.0,16.0,0,0,1,0,0,,,1,0.0,0.5151410759491122,1.0,True
DDD,2014J,693161,Withdrawn,-36.0,120,0,64.0,8.0,11.0,0,0,1,0,1,80.0,-1.0,0,1.0,0.18688801787998974,3.0,True
DDD,2014J,694019,Withdrawn,-25.0,60,0,43.0,3.0,15.0,0,0,1,0,0,,,1,0.0,0.34109967117173673,2.0,False
DDD,2014J,695799,Withdrawn,-30.0,60,0,21.0,2.0,4.0,0,0,1,0,0,,,1,0.0,0.4220826622271036,1.0,True
DDD,2014J,1197062,Withdrawn,-22.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.38886009387353015,2.0,True
DDD,2014J,1733160,Withdrawn,-21.0,60,0,284.0,18.0,19.0,0,0,1,0,1,95.0,-1.0,0,1.0,0.08875207187433998,4.0,False
EEE,2014J,649248,Withdrawn,-143.0,90,0,50.0,3.0,6.0,0,0,0,1,0,,,0,,0.292256909309253,2.0,True
EEE,2014J,676025,Withdrawn,-98.0,60,0,32.0,2.0,5.0,0,0,0,1,0,,,0,,0.24308537230531227,2.0,True
EEE,2014J,677250,Withdrawn,-65.0,60,0,0.0,0.0,0.0,1,0,0,1,0,,,0,,0.2272528186406069,2.0,True
EEE,2014J,682673,Withdrawn,-66.0,60,0,0.0,0.0,0.0,1,0,0,1,0,,,0,,0.22136177647371463,2.0,True
FFF,2013J,607407,Withdrawn,-29.0,120,0,680.0,24.0,49.0,0,0,1,0,1,90.0,0.0,0,1.0,,,
FFF,2014B,437529,Withdrawn,-57.0,60,0,322.0,4.0,28.0,0,0,1,0,0,,,1,0.0,,,
FFF,2014J,64777,Withdrawn,-123.0,90,1,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.480011873959294,1.0,True
FFF,2014J,149964,Withdrawn,-75.0,240,0,166.0,8.0,17.0,0,0,1,0,0,,,1,0.0,0.5330961973252735,1.0,True
FFF,2014J,197188,Withdrawn,-29.0,120,0,70.0,3.0,25.0,0,0,1,0,0,,,1,0.0,0.5276235980292114,1.0,True
FFF,2014J,275127,Withdrawn,-15.0,120,0,184.0,7.0,24.0,0,0,1,0,1,50.0,0.0,0,1.0,0.24334264679290749,2.0,True
FFF,2014J,561311,Withdrawn,-36.0,120,0,36.0,1.0,10.0,0,0,1,0,0,,,1,0.0,0.5418637865643715,1.0,True
FFF,2014J,595262,Withdrawn,-31.0,90,0,549.0,18.0,42.0,0,0,1,0,1,76.0,-5.0,0,1.0,0.19024419179149335,3.0,False
FFF,2014J,627379,Withdrawn,-109.0,90,1,150.0,9.0,23.0,0,0,1,0,1,66.0,-1.0,0,1.0,0.21439780106036577,2.0,True
FFF,2014J,629394,Withdrawn,-28.0,60,1,24.0,1.0,9.0,0,0,1,0,0,,,1,0.0,0.31070408977938574,2.0,True
FFF,2014J,629907,Withdrawn,-95.0,120,0,373.0,16.0,43.0,0,0,1,0,0,,,1,0.0,0.4526564162567781,1.0,True
FFF,2014J,631772,Withdrawn,-28.0,120,0,1495.0,25.0,34.0,0,0,1,0,0,,,1,0.0,0.30455768033297337,2.0,True
FFF,2014J,632634,Withdrawn,-134.0,60,1,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.3883116177547632,2.0,True
FFF,2014J,639993,Withdrawn,-37.0,60,0,127.0,3.0,27.0,0,0,1,0,0,,,1,0.0,0.4190489536672198,1.0,True
FFF,2014J,646498,Withdrawn,-135.0,120,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.5000326524439341,1.0,True
FFF,2014J,648576,Withdrawn,-123.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.357467208523967,2.0,True
FFF,2014J,648611,Withdrawn,-154.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.3851514119431536,2.0,True
FFF,2014J,656622,Withdrawn,-51.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.38051329161322617,2.0,True
FFF,2014J,674935,Withdrawn,-112.0,90,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.41768862455569494,1.0,True
FFF,2014J,675613,Withdrawn,-107.0,90,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.43971327150600403,1.0,True
FFF,2014J,680349,Withdrawn,-71.0,60,0,20.0,2.0,5.0,0,0,1,0,0,,,1,0.0,0.35057689210954907,2.0,True
FFF,2014J,690137,Withdrawn,-42.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.3668373403534203,2.0,True
FFF,2014J,694059,Withdrawn,-22.0,60,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.36621163915404453,2.0,True
FFF,2014J,694715,Withdrawn,-25.0,180,0,0.0,0.0,0.0,1,0,1,0,0,,,1,0.0,0.46224895196731064,1.0,True
FFF,2014J,2398260,Withdrawn,-38.0,180,0,296.0,11.0,40.0,0,0,1,0,0,,,1,0.0,0.4747371488929811,1.0,True
FFF,2014J,2622634,Withdrawn,-29.0,60,1,17.0,1.0,3.0,0,0,1,0,0,,,1,0.0,0.32471866197802146,2.0,True
GGG,2013J,590248,Withdrawn,-16.0,30,0,1.0,1.0,1.0,0,0,0,1,0,,,0,,,,
GGG,2014J,646891,Withdrawn,2.0,60,0,1.0,1.0,1.0,0,0,0,1,0,,,0,,0.05813105229255517,3.0,True
GGG,2014J,685028,Withdrawn,-9.0,30,0,0.0,0.0,0.0,1,0,0,1,0,,,0,,0.04221348972396442,4.0,True
